name,title_ca,title_es,title_en,complementary description,field_definition,openness_score,license_title,date_published,organization_parent_name_ca,organization_name_ca,package_count,frequency,geolocation,token_required,historical,api,total_views,recent_views,total_downloads_by_ip,total_downloads_absolute,total_api_access_by_api,total_api_access_absolute,tags_list,fuente,url_tornada_ca,url_tornada_es,url_tornada_en,notes_ca,notes_es,notes_en,url_busqueda_ca,url_busqueda_es,url_busqueda_en,qpj,prj,application/x-7z-compressed,qml,txt,7z,xml,bdf,qgz,zip,wms,kml,geojson,json,wmts,ics,tif,csv,kmz,xlsx,rdf-linked,sbx,dat,dbase,sbn,shp,rds,shx,html,cpg,rdf,xls,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20170706-districtes-barris,Districtes i Barris de la Ciutat de Barcelona,Distritos y Barrios de la Ciudad de Barcelona,Barcelona Districts and Neighborhoods,N,N,3,Creative Commons Attribution 4.0,2017-07-06,Administració,Sector públic,70,PETICIO_ALCALDIA,No,No,No,Yes,1357,18,733,4610,14,74, Barri Barris Barcelona Districtes,Ajuntament de Barcelona,http://www.bcn.cat/cartobcn,http://w20.bcn.cat/cartobcn/default.aspx?lang=es,http://w20.bcn.cat/cartobcn/default.aspx?lang=en,"Llista de districtes i barris de la Ciutat de Barcelona. 10 districtes i 73 barris aprovats el 22/12/2006 i publicats a la [Gaseta Municipal](https://w123.bcn.cat/APPS/egaseta/historic.do?reqCode=init) amb data 28/02/2007, vigents en l’actualitat. El criteri de numeració és l'oficial.","Lista de distritos y barrios de la Ciudad de Barcelona. 10 distritos y 73 barrios aprobados el 22/12/2006 y publicados en la [Gaceta Municipal](https://w123.bcn.cat/APPS/egaseta/historic.do?reqCode=init) con fecha 28/02/2007, vigentes en la actualidad. El criterio de numeración es el oficial.","List of districts and neighborhoods of the city of Barcelona. 10 districts and 73 neighborhoods instaured on the 22/12/2006 and published in the [Gaceta Municipal](https://w123.bcn.cat/APPS/egaseta/historic.do?reqCode=init) from the 28/02/2007, still in force. The numbering is the official one. ",https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=20170706-districtes-barris,https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=20170706-districtes-barris,https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=20170706-districtes-barris,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
accidents-causes-gu-bcn,Descripció de la causalitat dels accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona,Descripción de la causalidad de los accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona,Description of the accidents' handled by the police in the city of Barcelona causality ,S,S,3,Creative Commons Attribution 4.0,2015-11-19,Ciutat i serveis,Seguretat,6,ANUAL,Yes_with_map_view,No,Yes,Yes,1338,33,4624,11875,112,114, Accidentalitat Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Any 2017 Any 2018 Causa Guàrdia Urbana,Ajuntament de Barcelona,http://ajuntament.barcelona.cat/guardiaurbana/ca/node,http://ajuntament.barcelona.cat/guardiaurbana/es/node,http://ajuntament.barcelona.cat/guardiaurbana/en/node,"Llistat de de la causalitat dels accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot tenir una o més causes mediates les quals fan referència a factors externs del resultat en temps, lloc o grau (ex: Alcoholèmia i Excés de velocitat o inadequada).     Les coordenades s'expressen en el sistema de referència ED50 i en el sistema geogràfic (longitud i latitud).","Listado de  de la causalidad de los accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona. Un accidente puede tener una o más causas mediatas las cuales hacen referencia a factores externos del resultado en tiempo, lugar o grado (ej : Alcoholemia y Exceso de velocidad o inadecuada).  Las coordenadas se expresan en el sistema de referencia ED50 y en el sistema geográfico (longitud y latitud).  ","Listing accidents causality of accidents mediate managed by the Police in the city of Barcelona . An accident can have one or more causes mediated  which refer to external factors result in time, place or degree (eg: alcohol and Speeding or improper).    The coordinates are measured with the ED50 reference system and with the geographic system (longitude and latitude).",https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-causes-gu-bcn,https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-causes-gu-bcn,https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-causes-gu-bcn,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N
accidents-gu-bcn,Accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona,Accidentes gestionados por la Guardia Urbana  en la ciudad de Barcelona,Accidents managed by the local police in the city of Barcelona,S,S,3,Creative Commons Attribution 4.0,2015-06-10,Ciutat i serveis,Seguretat,6,ANUAL,Yes_with_map_view,No,Yes,Yes,2388,61,5310,7531,143,263, Accidentalitat Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Any 2017 Any 2018 Guàrdia Urbana,Aplicació Accidents,http://ajuntament.barcelona.cat/guardiaurbana/ca/node,http://ajuntament.barcelona.cat/guardiaurbana/es/node,http://ajuntament.barcelona.cat/guardiaurbana/en/node,"Llistat dels accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Incorpora el número de lesionats segons gravetat, el número de vehicles implicats i el punt d'impacte. Les coordenades s'expressen en el sistema de referència ED50 i en el sistema geogràfic (longitud i latitud).","Listado de los accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona. Incorpora el número de lesionados segun gravedad, el número de vehiculos y el punto de impacto. Las coordenadas se expresan en el sistema de referencia ED50 y en el sistema geográfico (longitud y latitud).","List of accidents handled by the local police in the city of Barcelona. Incorporates the number of injuries by severity, the number of vehicles and the point of impact. The coordinates are measured with the ED50 reference system and with the geographic system (longitude and latitude).",https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-gu-bcn,https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-gu-bcn,https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-gu-bcn,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N
accidents-persones-gu-bcn,Persones involucrades en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona,Personas involucradas en  accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona,People involved in accidents managed by the Police in the city of Barcelona ,S,S,3,Creative Commons Attribution 4.0,2015-11-19,Ciutat i serveis,Seguretat,6,ANUAL,Yes_with_map_view,No,Yes,Yes,1300,26,2971,3636,105,108, Accidentalitat Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Any 2017 Any 2018 Guàrdia Urbana Persones,Ajuntament de Barcelona,http://ajuntament.barcelona.cat/guardiaurbana/ca/node,http://ajuntament.barcelona.cat/guardiaurbana/es/node,http://ajuntament.barcelona.cat/guardiaurbana/en/node,"Llistat de les persones que han estat involucrades en un accident gestionats per la Guàrdia Urbana a la ciutat de Barcelona i que han sofert algun tipus de lesió ( ferit lleu, ferit greu o mort). Inclou descripció de la persona (conductor, passatger o vianant), sexe, edat, vehicle associat a la persona i si la causa ha sigut del vianant. Les coordenades s'expressen en el sistema de referència ED50 i en el sistema geogràfic (longitud i latitud).","Personas involucradas en un accidente gestionado por la Guardia Urbana en la ciudad de Barcelona y que han sufrido algún tipo de lesión ( herido leve , herido grave o muerte). Incluye descripción de la persona ( conductor, pasajero o peatón ) , sexo , edad , vehículo asociado a la persona y si la causa ha sido del peatón. Las coordenadas se expresan en el sistema de referencia ED50 y en el sistema geográfico (longitud y latitud).","List of people who have been involved in an accident managed by the Police in the city of Barcelona have suffered some type of injury ( slightly wounded, serious injuries or death). It includes a description of the person ( driver, passenger or pedestrian), sex, age, vehicle associated person if the cause was pedestrian. The coordinates are measured with the ED50 reference system and with the geographic system (longitude and latitude).",https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-persones-gu-bcn,https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-persones-gu-bcn,https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-persones-gu-bcn,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N
accidents-tipus-gu-bcn,Accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona segons tipologia,Accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona según tipología,Accidents managed by the Police in the city of Barcelona according to type,S,S,3,Creative Commons Attribution 4.0,2015-11-19,Ciutat i serveis,Seguretat,6,ANUAL,Yes_with_map_view,No,Yes,Yes,1971,39,5526,27025,160,255, Accidentalitat Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Any 2017 Any 2018 Guàrdia Urbana Tipus,Ajuntament de Barcelona,http://ajuntament.barcelona.cat/guardiaurbana/ca/node,http://ajuntament.barcelona.cat/guardiaurbana/es/node,http://ajuntament.barcelona.cat/guardiaurbana/en/node,Llistat dels tipus d’accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot estar tipificat com més d’un tipus ( ex: caiguda (dues rodes) i abasti). Les coordenades s'expressen en el sistema de referència ED50 i en el sistema geogràfic (longitud i latitud).,Listado de los tipos de accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona. Un accidente puede ser tipificado como más de un tipo (ej : caída ( dos ruedas ) y abarque ).  Las coordenadas se expresan en el sistema de referencia ED50 y en el sistema geográfico (longitud y latitud).,List of types of accidents handled by the police in the city of Barcelona . An accident can be classified as more than one type (eg falling ( two wheels ) and cover). The coordinates are measured with the ED50 reference system and with the geographic system (longitude and latitude).,https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-tipus-gu-bcn,https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-tipus-gu-bcn,https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-tipus-gu-bcn,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N
accidents-vehicles-gu-bcn,Vehicles implicats en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona,Vehículos implicados en accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona,Vehicles involved in accidents handled by the police in the city of Barcelona ,S,S,3,Creative Commons Attribution 4.0,2015-11-19,Ciutat i serveis,Seguretat,6,ANUAL,Yes_with_map_view,No,Yes,Yes,1313,31,4604,5889,475,1239, Accidentalitat Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Any 2017 Any 2018 Guàrdia Urbana Vehicles,Ajuntament de Barcelona,http://ajuntament.barcelona.cat/guardiaurbana/ca/node,http://ajuntament.barcelona.cat/guardiaurbana/es/node,http://ajuntament.barcelona.cat/guardiaurbana/en/node,"Llistat dels vehicles implicats en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot tenir associat més d’un vehicle. Inclou si la causa és del vianant, el tipus de vehicle, model, marca, color i tipus carnet i antiguitat de la persona que ho conduïa. Les coordenades s'expressen en el sistema de referència ED50 i en el sistema geogràfic (longitud i latitud).","Listado de los vehículos implicados en accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona. Un accidente puede tener asociado más de un vehículo. Incluye si la causa es del peatón, el tipo de vehículo , modelo, marca , color y tipo carnet y antigüedad de la persona que lo conducía. Las coordenadas se expresan en el sistema de referencia ED50 y en el sistema geográfico (longitud y latitud).","List of vehicles involved in accidents handled by the police in the city of Barcelona . An accident may be associated with more than one vehicle. Including whether the cause is pedestrian , vehicle type , model , brand, color and license type and age of the person who was driving. The coordinates are measured with the ED50 reference system and with the geographic system (longitude and latitude).",https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-vehicles-gu-bcn,https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-vehicles-gu-bcn,https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-vehicles-gu-bcn,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N
accions-formatives-adrecades-al-personal,Accions formatives adreçades al personal municipal de la ciutat de Barcelona,Acciones formativas dirigidas al personal municipal de la ciudad de Barcelona,Formative activities aimed at municipal employees of the city of Barcelona,N,N,3,Creative Commons Attribution 4.0,2017-06-08,Administració,Recursos humans,6,BIENNAL,No,No,Yes,Yes,423,11,649,745,31,31, Activitats formació Any 2016 Any 2017 Any 2018 Any 2019,Direcció de Serveis de Desenvolupament i Atenció al Personal,http://ajuntament.barcelona.cat/transparencia/ca/informacio-institucional-i-organitzativa#formaciovigent,http://ajuntament.barcelona.cat/transparencia/es/informacion-institucional-y-organizativa#formacionvigente,http://ajuntament.barcelona.cat/transparencia/es/informacion-institucional-y-organizativa#formacionvigente,"Llista de les accions de formació transversals planificades, adreçades al personal municipal, formulades d’acord amb els objectius i projectes propis de cada àmbit municipal.    Les accions formatives estan definides de la manera següent:  -	Nom de l’acció formativa  -	Àmbit d’actuació  -	Àrea i subàrea temàtica  -	Competència professional  -	Objectiu  -	Continguts  -	Durada  -	Personal destinatari:  -	Nombre de participants / edició  -	Nombre d’edicions previstes  -	Calendari previst: trimestre en què es preveu dur a terme la formació  -	Modalitat formativa  -	Coordinació del curs  ","Lista de las acciones de formación transversales planificadas, dirigidas al personal municipal, formuladas de acuerdo con los objetivos y proyectos propios de cada ámbito municipal.    Las acciones formativas están definidas de la siguiente manera:  - Nombre de la acción formativa  - Ámbito de actuación  - Área y subárea temática  - Competencia profesional  - Objetivo  - Contenidos  - Duración  - Personal destinatario  - Número de participantes / edición  - Número de ediciones previstas  - Calendario previsto: trimestre en que se prevé llevar a cabo la formación  - Modalidad formativa  - Coordinación del curso","List of planned transversal training activities aimed at municipal employees, ie, the formation to which all municipal employees can access, regardless of their municipal area. The activities are formulated in accordance with the objectives and projects of each municipal area.    The training activities are defined as follows:  - Name of the training activity  - Area of action  - Theme and sub-theme  - Professional competence  - Goal  - Contents  - Duration  - Employees which the action is aimed at:  - Number of participants / year  - Number of editions planned  - Schedule: quarter in which the activity is expected to be held  - Training type  - Coordination of the activity",https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accions-formatives-adrecades-al-personal,https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accions-formatives-adrecades-al-personal,https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accions-formatives-adrecades-al-personal,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S
acollida-animals,Nombre d'entrades i sortides d'animals al Centre d'Acollida d'Animals de Companyia de Barcelona,Número de entradas y salidas de animales en el Centro de Acogida de Animales de Compañia de Barcelona,Animals entry and exit number in Barcelona Pet Animals Welfare Center,N,S,3,Creative Commons Attribution 4.0,2015-11-20,Ciutat i serveis,Medi ambient,22,MENSUAL,No,No,Yes,Yes,740,10,2732,20763,109,165, Animals Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Any 2017 Any 2018 Any 2019 Gats Gossos,Programa de gestió del CAACB,http://www.bcn.cat/adopta,http://ajuntament.barcelona.cat/adopta/es/,http://ajuntament.barcelona.cat/adopta/es/,"Nombre de gossos i gats gestionats pel Centre d'Acollida d'Animals de Companyia de Barcelona (CAACB). Les dades detallen els recollits de la via pública, els rescatats pel seu propietari i els adoptats.","Número de perros y gatos gestionados por el Centro de Acogida de Animales de Compañía de Barcelona (CAACB). Los datos detallan los recogidos de la vía pública, los rescatados por su propietario y los adoptados.","Dogs and cats number managed by the Barcelona Pet Animals Welfare Center (CAACB). The data show those who have been collected from the public road, rescued by its owner or adopted.",https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=acollida-animals,https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=acollida-animals,https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=acollida-animals,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S
actes-anella,Agenda d'actes de l'Anella Olímpica de la ciutat de Barcelona,Agenda de actos de Anella Olímpica de la ciudad de Barcelona,Events Agenda of Olympic Anella of the city of Barcelona,N,S,3,Creative Commons Attribution 4.0,2019-07-26,Ciutat i serveis,Cultura i oci,32,DIARIA,No,No,No,No,113,9,93,110,13,13, Actes Anella Concerts Estadi Olímpic Exposicions Olímpica Palau Sant Jordi Sant Jordi Club,B:SM,https://www.palausantjordi.cat/agenda/,https://www.palausantjordi.cat/es/agenda/,https://www.palausantjordi.cat/en/calendar/,"Agenda dels actes que es celebren a les instal·lacions que formen part de l'Anella Olímpica: Palau Sant Jordi, Sant Jordi Club i Estadi Olímpic.","Agenda de los actos que se celebran en las instalaciones que forman parte de la Anella Olímpica: Palau Sant Jordi, Sant Jordi Club y Estadi Olímpic.","Agenda of the events held at the facilities which constitute the Olympic Anella: Palau Sant Jordi, Sant Jordi Club and Estadi Olímpic.",https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=actes-anella,https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=actes-anella,https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=actes-anella,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
aforament-tipus-equipament,Tipus de tecnologia dels equipaments d'aforaments de mobilitat de la ciutat de Barcelona,Tipo de tecnologia de los equipamientos de aforo de la ciudad de Barcelona,Technology type of the vehicle gauging equipments in the city of Barcelona,N,S,3,Creative Commons Attribution 4.0,2018-09-07,Ciutat i serveis,Transport,51,ANUAL,No,No,Yes,Yes,376,13,144,161,9,10, Aforament Any 2017 Bicicleta Bicicletes Trànsit Vehicles mobilitat,Ajuntament de Barcelona,http://mobilitat.ajuntament.barcelona.cat/,http://mobilitat.ajuntament.barcelona.cat/es/,http://mobilitat.ajuntament.barcelona.cat/en/,Tipus de tecnologia usada en els equipaments per registrar aforaments de mobilitat a la ciutat de Barcelona.,Tipo de tecnología usada en los equipamientos para registrar el aforo de mobilidad en la ciudad de Barcelona.,Technology type used as equipment to read the capacity of the vehicle mobility in the city of Barcelona.,https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=aforament-tipus-equipament,https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=aforament-tipus-equipament,https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=aforament-tipus-equipament,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N
